text_1,text_2,label,explanation,human_explanation
Person in green gear does trick in midair with motorcycle.,Person in gear does trick in midair with motorcycle.,0,"The hypothesis removes the specific detail about the color of the gear, which is not essential to the action described.  
",A person does trick in midair while wearing green gear.
A man leans against a pay phone while reading a paper.,The man is standing and holing a newspaper.,0,"The premise states the man is reading a paper, which could be a newspaper.  
",If the man is reading a paper he is reading a newspaper.
Football players wearing helmets practice defensive moves while their coach stands by ready to blow his whistle.,The coach drills his team hard,0,"The coach's readiness to blow his whistle suggests he is actively overseeing and directing the players' practice.  
","In both sentence, coach are teaching her team."
A young woman in relaxed clothing vacuuming hallway with small vacuum.,A mother cleans up after her children who spilled cereal in the hallway by vacuuming.,1,"The act of vacuuming a hallway with a small vacuum could be done by a mother cleaning up a spill.  
",Not all women are a mother with children.
A camera crew looking at a man holding a umbrella over a girl in white.,a camera crew looks at a man holding an umbrella over a blonde girl dressed in white,1,"The camera crew observes a man shielding a girl in white from the elements. 
",the girl may not be blonde
A woman in a kimono with a white umbrella stands near a second person.,One person is wearing a bathing suit while another is wearing a tuxedo.,2,"The premise does not provide information about the clothing of the second person.  
",A kimono and a bathing suit are not the same thing.
One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,A man is surfing at the beach.,2,"The premise describes a winter activity, while the hypothesis describes a summer activity.  
",Snowy mountain slope cannot be beach simultaneously.
A slim woman is walking a wet street holding a red umbrella.,A woman jogs a street with umbrellas.,2,"The hypothesis broadens the description of the woman and her activity, while the premise focuses on a specific instance.  
","One cannot walk and jog at the same time, and there can be only one umbrella or multiple umbrellas."
A woman and a man standing on a busy city street smiling.,The woman and the man are frowning.,2,"The premise describes a positive emotional state, while the hypothesis describes the opposite.  
",The couple is either standing or frowning.
A man with his surfboard stands in the sand.,fo,1,"The hypothesis focuses on a specific sound, while the premise describes a visual scene. 
",
A congregation is watching the Pope give a speech.,The Pope is old,1,"The Pope is a figurehead of a large religious organization, and religious leaders often hold positions of authority for extended periods.  
",A Pope is likely to be old but the possibility of the Pope being young or middle aged can't be discounted.
The children played on the four wheeler in the field.,The children are riding west on the four wheeler.,1,"The direction the children are riding the four wheeler is not specified in the premise.  
",It is not known if the children are riding west.
five girls dressed alike,There are five kids with the same clothes,0,"The premise specifies the number of girls and their attire, while the hypothesis broadens the scope to include all children wearing the same clothes. 
","The five kids are all girls, and they are dressed alike meaning same clothes"
Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,four individuals are presenting their business plan,1,"Giving a presentation often involves outlining a business plan.  
",Using a projector does not imply presenting a business plan.
A Guy is swimming in the pool with his eye goggles on.,A guy is practicing swimming for the semi-finals.,1,"Someone who is practicing for a swimming competition might wear goggles while swimming.  
",Swimming does not imply practicing for semi-finals.
People are looking at construction being done in a town street.,People watch as a new hotel is built.,1,"Construction on a street could be for a variety of reasons, including the building of a hotel.  
",People are looking at construction being done in a town street does not indicate that he watch as a new hotel is built.
Two people are hang gliding.,The two people are hang gliding off of Mission Peak regional park.,1,"The location of the hang gliding activity is not specified in the premise.  
",The two people are hang gliding but they are not necessarily doing it off of Mission Peak regional park.
"Two people wait on a train, one in a yellow shirt and one that looks like a male in a green belly shirt.",Two people don't wait on a train,2,"The premise describes two people waiting on a train, while the hypothesis states that no one is waiting on a train. 
",If people wait on a train they don't not wait.
Four people walking through the snow together.,people were walking,0,"The premise states that people are walking through the snow, which implies that they were walking at some point.  
",Walking through the snow implies someone is walking.
young boy wearing a red USA shirt is using either a toy or science equipment.,A child is performing an experiment,1,"Using either a toy or science equipment suggests the young boy is engaged in an activity that resembles an experiment.  
",The child is not necessarily performing an experiment.
a black dog is standing on a step next to a river as it shakes itself dry.,A dog shakes off after being pushed into water.,1,"The dog shaking itself dry suggests it was recently in water.  
","A dog could jump or fall into water, not only from being pushed."
A man in blue shirt talking with his friends in a bar.,A man is having drinks in a bar.,1,"Talking with friends in a bar suggests the man is likely consuming drinks there.  
",A man in a blue shirt talking with his friends is having drinks in a bar.
"A female speaker wearing a gray jacket, a dark scoop necked top with a dark knee length skirt is presenting to a group using a computer to present as well as a microphone at the podium.",The woman is standing in front of people.,0,"The premise states that the woman is presenting to a group, which implies she is standing in front of them. 
",A female speaker is a woman. Someone who is presenting to a group is standing in front of people.
"A blond woman is singing into a microphone and giving the ""okay"" symbol with her left hand.",A young woman is singing.,1,"The premise describes a woman singing, which could be a young woman.  
",Not all blond women who sing are young.
Two young men are posing for the camera.,two men posing for a photo to put on facebook,1,"People often take photos to share on social media platforms like Facebook.  
",posing for a camera does not specifically mean the photo will be uploaded to Facebook
two beautiful women stand next to a fountain which is giving off a light mist.,An old woman feed the pigeons in town.,2,"The premise describes a scene in a town, and the hypothesis mentions an old woman feeding pigeons in town. 
",There cannot be both a number of two women then later saying that there is one women.
Two young girls ride a camel near water.,The girls had fun.,1,"Riding a camel near water is a common activity that people often find enjoyable.  
",Just because two girls are riding a camel does not infer that they had fun.
A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.,He is standing inside the house.,0,"The description of the wall's height suggests an indoor setting.  
","He peers over the wall that is waist high, so he must be standing."
Several bicyclists are riding though a wooded area.,Bicyclists riding their bikes in a race.,1,"The bicyclists could be participating in a race while riding through the wooded area.  
",Bicyclists can ride without being in a race.
Small blond boy throwing a fit.,Small blond boy throwing a fit because he didn't get the toy.,1,"A common reason for a child to throw a fit is when they are denied something they desire.  
",It cannot be inferred that the blond boy was throwing a fit because he didn't get the toy.
Two men are standing on a street and one of them is about to throw a dart.,Two men are in a bar.,2,"People often throw darts in bars.  
",Men cannot be on a street and in a bar simultaneously.
Two children in their pajamas one has a mask and hairnet like a surgical nurse and is standing over the older child who is laying down on the wood floor.,the children are wearing business suits,2,"The premise describes the children's attire, while the hypothesis describes their profession. 
",The children wear either pajamas or business suits.
Two girls in white dresses holding hands and leaning on each another while standing on the shoreline of a calm sea.,The girls are standing next to the river.,2,"While the premise describes a specific location, it doesn't state that the location is definitively a river.  
",One cannot be standing next to the river and the sea at the same time.
A young girl dressed in white with a pink scarf smiles as she poses next to a fire in a chimney.,A kid poses near a chimney on Christmas.,1,"The description of a young girl in festive attire near a fire suggests a holiday celebration.  
",There is no mention of Christmas when the young girl posed in the first sentence.
"While seated outdoors, a man wearing a harlequin shirt and jeans puts white makeup around his eyes.",The man is sitting in his living room.,2,"The premise does not provide any information about the location of the man.  
",A living room is not outdoors.
A blond woman at the beach jumping around as she is enjoying her youth and freedom.,There is a blond woman at the beach,0,"The premise describes a specific woman at the beach.  
",The beach is where the woman is at.
A woman playing the violin with posters in the background.,A woman is playing music.,0,"Playing the violin is a way of making music.  
",A violin makes music.
Two children walk along a path holding purple flowers.,A boy and a girl are gathering flowers.,1,"The children walking along the path could be a boy and a girl collecting flowers.  
",Two children walk along a path holding purple flowers does not mean that two children are boy and a girl
Students are sitting in a classroom listening to six people who are teaching.,The students combined their powers pushing the moon away from the Earth by 6 inches.,2,"The premise describes a situation where people are engaged in learning, and the hypothesis suggests an extraordinary feat of collective power. 
","If one is listening, they are not pushing"
Man with a guitar drinking a canned drink.,man drinks beer,1,"A canned drink could be beer.  
",Not all canned drinks are beer.
Two women sitting on a bench eating vanilla ice cream.,Two men are eating peanuts.,2,"The premise and hypothesis describe unrelated activities involving different people and items.  
",There can only be two women or two men.
An aspirin added to the water would preserve the flowers.,The flowers are in water.,0,"To preserve the flowers with aspirin, they would need to be submerged in water.  
",aspirin added to water refers that flowers are in water
A woman giving lecture using promethean board.,There are people eating worms.,2,"The presence of a lecture and a promethean board does not provide any information about people eating worms.  
",Eating worms is different that giving a lecture
People walking through the underpass of a bridge.,Monkeys stare through the bars at the zoo.,2,"Both scenarios involve observing individuals within confined spaces. 
",People are not monkeys.
A group of people sit in the snow overlooking a mountain scene.,People are doing cartwheels in the dry summer field.,2,"The premise describes a scene unrelated to the activities and setting described in the hypothesis.  
",People can not sit while simultaneously be doing cartwheels.  A dry summer field can not be covered in snow.
"A young lady, wearing a dark colored leotard, is doing a flip on a balance beam.",A young lady is walking across the floor mat.,2,"While the premise describes a specific activity on a balance beam, it doesn't rule out the possibility of the young lady engaging in other activities, such as walking across a floor mat, at another time.  
",The young lady cannot be simultaneously walking across the floor mat and doing a flip on a balance beam.
Woman sitting in the shade with a fabric fan.,There is a woman sitting down,0,"The premise states that a woman is sitting, which directly supports the hypothesis that there is a woman sitting down. 
",Sitting refers to sitting down.
A young lady with an umbrella is walking by while two women are adoring the adorable puppy one gentleman was walking.,A group of people wait in line at an amusement park.,2,"Amusement parks are often places where people gather in groups.  
","There are either two women or a group of people, a group of people implies more than two."
Kids running in the field.,Kids play soccer in a field.,1,"Running in a field could be part of playing soccer.  
",Just because the kids are running does not mean they are playing soccer.
A woman in a green shirt is opening a box.,the woman is asleep,2,"It is unlikely that someone opening a box would be asleep.  
",The woman cannot be opening a box while asleep.
Blond man wearing a red shirt with a camera in his hands.,A man is getting ready to take a picture of his famiy.,1,"Someone with a camera is likely preparing to capture a moment.  
",Not all men have a famiy.
An elderly man sits in a chair in an alleyway.,The man is sitting down.,0,"The premise states the man is in a chair, which implies he is sitting.  
",sits implies   sitting
A woman in a white shirt prepares a large meal of hamburgers.,A woman cooks.,0,"Preparing a large meal involves the act of cooking.  
",One cooks when one prepares a meal.
This has to be one of the best restaurant's on the east side!,The restaurant is on the east side.,0,"The statement emphasizes the restaurant's quality in relation to the east side.  
",If a restaurant's on the east side it is a restaurant on the east side.
People waiting in line for their favorite beverage.,People are waiting for hot food.,2,"It is possible that the beverage they are waiting for is served with a hot food item.  
",one group is waiting in line for their favorite beverage while the other group is in line for hot food
Two men are sitting on a pile of fishing nets on a dock next to an elaborately designed fishing vessel.,The men do not have any nets.,2,"The premise states they are sitting on a pile of fishing nets, which contradicts the hypothesis that they do not have any nets.  
",The men either have nets or do not.
A man is sweating on stage while holding a beer.,A man on stage has a beer in one hand and a guitar in the other.,1,"The premise describes a man holding a beer, and the hypothesis describes a man holding a beer and a guitar. 
",Just because A man is sweating on stage while holding a beer does not indicate that he has a beer in one hand and a guitar in the other.
two people on the top of a cliff,humans atop the cliff,0,"The phrase ""two people"" does not specify if they are human. 
","People are humans, and ""atop"" means on the top of."
A lady holding a purse stands in an airport while a security guard watches behind her.,The lady was at home sleeping.,2,"The premise describes the lady's current location and activity, while the hypothesis states her state of being at a different time.  
","If a woman is at home sleeping, then she cannot be at the airport."
An Asian young woman is working with flower while surrounding by her peers.,The woman is working at home.,2,"The presence of peers suggests a shared environment, which could be a home setting. 
",surrounding peers is not the same as home
A boy jumps off a tan rock.,A boy is trying to get home.,1,"Perhaps the boy jumped off the rock as a shortcut to get home.  
",A boy is jumping on the  road
a rock climber climbs a large rock.,The person is climbing a rock.,0,"The premise describes a specific instance of rock climbing, which involves a person climbing a rock.  
",a person is considered to be a rock climber.
A construction worker is driving heavy equipment at a work site.,The worker drove heavy equipment.,0,"The premise states the worker was driving heavy equipment, which implies they drove it at some point.  
","A construction worker is a type of worker, and one must be driving in order to have drove."
A toddler is sitting while holding some corn in his hands.,A toddler is swimming,2,"There is no direct connection between a toddler holding corn and a toddler swimming.  
",Sitting and swimming are two different actions
The man and woman are drinking out of canning jars.,Man and woman drinking,0,"The premise states what the man and woman are using to drink, while the hypothesis simply states that they are drinking. 
","""The man and woman"" refers to a specific couple."
A woman is drawing a caricature of a young boy.,The woman is looking at a boy.,1,"To draw a caricature of someone, one must be looking at them.  
",Just because a woman is drawing a caricature of a of a boy does not mean she is looking at a boy.
Two women and one young girl are together in a crowded area.,Three females near each other.,0,"The premise describes a specific group of females, and the hypothesis makes a general statement about females being near each other. 
",Three females together in a crowded area
A man is standing beside a ladder facing it with tree debris all around him.,the man is wearing a dress.,2,"There is no direct connection between the man's actions and his clothing choice.  
",A man would not be wearing a dress standing beside a ladder as a dress is clothes that women wear.
A football player in a white jersey has his hand on a football player in a green jersey who is in the air.,Two football players in action.,0,"The premise describes two football players engaged in a physical action.  
","Two football players were mentioned, so there can be assumed to be two football players."
A young woman working in a factory.,Nobody is working,2,"The premise states that a young woman is working, while the hypothesis claims that nobody is working. 
","If there is a woman, it is impossible for there to be nobody."
Boy falling off of a sheep while a man in a cowboy hat and sunglasses rushes over to help him.,A boy falls as his father helps him,1,"The premise describes a situation where a man resembling a cowboy helps a boy who fell, aligning with the hypothesis of a father assisting his child.  
",The man is not necessarily his father.
Two ladies moving about in an large theater or sports arena.,Two girls are trying to get upfront at a concert.,1,"Large theaters or sports arenas can sometimes host concerts.  
",when two girls are at concert they are not necessarily needed to be in a theater
A cowboy is in an arena with horses and a cow.,The animals are aggressive,1,"The presence of a cowboy, horses, and a cow in an arena could potentially lead to aggressive behavior from the animals.  
",The animals are not necessarily aggressive.
Two dogs are on a white carpet with one of the dogs showing its fangs.,Some animals on a carpet,0,"The premise describes a specific instance of animals on a carpet.  
",animals on a carpet  shows that dogs are on a white carpet
"Cute girl at a children's beauty shop sitting on a toy car having her hair blow-dried, while stylist is smiling and gentleman's arm is touching the car.",The girl does the stylist's hair,2,"The premise does not provide any information about the girl's actions towards the stylist.  
",The girl can't have her hair blow dried while doing the stylist's hair.
A man in a gray shirt is holding a deck of cards.,The man is wearing gray.,0,"The premise states the man is wearing a gray shirt, which indicates he is wearing the color gray.  
",A man said to be in a gray shirt can be said to be wearing the color gray.
The rusty lock is attached to a chain.,The rusty lock was cut and hanging from teh chain,1,"If a lock is cut, it would be hanging from the chain.  
","Just because a rusty lock is attached to a chain, it doesn't reveal any reason to infer that the lock was cut and is hanging."
Four people walk down a city sidewalk- three facing the camera one away.,People are on the sidewalk.,0,"The premise states that people are walking on a sidewalk. 
",people walk down a city sidewalk implies that they are on sidewalk.
"A man jogs down a city street, with a line attached to his back that vanishes out of the left side of the picture; a smiling cyclist rides past.",A man is jogging on sidewalk with a fishing line attached to his back; a cyclist rides past while laughing at him.,2,"The cyclist's laughter suggests amusement at the man's unusual attire. 
",A CITY STREET IS NOT A SIDEWALK.
A lady sitting in a log cabin by herself.,A woman sits alone.,0,"The premise describes a woman in a specific location, and the hypothesis describes a woman in a general situation. 
",A woman by herself is alone.
A man writes a note while sitting next to a crate and a bike.,The man on a treadmill at the gym.,2,"There is no direct connection between a man writing a note next to a crate and a bike and a man on a treadmill at the gym.  
",One cannot be sitting and on a treadmill at the same time.
A young man who is running as part of a competition team.,A young man is moving fast.,0,"Competition teams often emphasize speed and quick movements.  
",a man who is running is obviously moving fast
Costumed kids on a jungle gym.,Kids are at an outdoor haloween party.,1,"Costumes are often worn at Halloween parties.  
",We don't know that the kids are at a haloween party.
The girl eating spaghetti is wearing a red jacket.,The girl in red is having dinner,0,"Eating spaghetti is a type of dinner.  
",Spaghetti is for dinner.
two young females on an amusement ride.,the females on amusement ride,0,"The hypothesis focuses on a broader group of females on an amusement ride, while the premise specifies two young females.  
",Young females are females of younger ages.
A girl with dreadlocks tries to hit a ball on a waterlogged put-put course.,A girl is playing alone.,1,"The premise does not provide information about whether or not the girl is playing with others.  
",Playing put-put doesn't imply she's alone.
3 men in t-shirt and shorts sitting on the grass eating food.,The 3 men are outside in their t-shirts.,0,"The premise states the men are wearing t-shirts and shorts, which are typical clothing for being outside.  
","If someone is sitting on grass, they are probably outside."
"three dogs are running through the snow, one of them throwing up so much snow that he can hardly be seen.",There are dogs outside.,0,"The premise states that dogs are running through the snow.  
",dogs are running through the snow means they are outside
A bike rider in the air above a ramp.,A bike rider standing at the opening gate.,2,"A bike rider in the air above a ramp likely launched themselves from a starting position.  
",A bike rider is either in the air above a ramp or standing at the gate.
"Three people, smiling while playing cards.",Three people are grinning.,0,"Smiling is a type of grinning.  
",Smiling is the same action as grinning.
A group of children in red t-shirts with white hearts printed on them sit beside a large bus parked in front of a Toys R Us store.,A group of boys and girls sit next to a school bus.,1,"The children in the premise are sitting next to a large bus, which could be a school bus.  
",Not a group of children are a group of boys and girls.
Motorcyclist on motorcycle racing around track.,A motorcyclist racing around a track.,0,"The motorcyclist is engaged in the activity of racing.  
",There is a motorcyclist racing around
A man wearing a mask is cutting a hole in a roof and there is an orange crane next to him.,A man is working for a construction company.,1,"Cutting a hole in a roof is a task often performed by construction workers.  
",A man can cut a whole in the roof an not work for a construction company.
A football player charges down the field after a member of the opposite team.,Some people playing basketball.,2,"The premise describes a scenario involving a football game, while the hypothesis discusses basketball. 
",football and basketball are different sports
"A woman in a black top stands with another man, displaying a group of patterned dresses on hangars.",Two people view dresses hanging from multiple hangars.,0,"The premise describes two people viewing dresses on hangars. 
","Man and woman are two people, both of which are near dresses."
A man is hammering an anvil.,An office worker seen at work.,2,"An office worker could be a man.  
","An anvil is not a normal piece of office equipment, so anyone hammering on one is not a normal office worker."
An elderly man stands on a ladder tending the leaves of a tree.,An elderly man tends to a tree.,0,"The elderly man's actions on the ladder are related to the care of the tree.  
","""An elderly man tends to a tree"" is a less descriptive version of saying he is on a ladder tending the leaves of the tree."
A bike riding couple dressed in bike gear and helmets take a minute to site on a bench to talk and park their bikes.,A couple is watching tv,2,"There is no direct connection between a couple resting on a bench and their activities later.  
",The couple can either be watching tv or be on a bench where they can't watch tv.
A man and woman are sitting at a table with a Jenga game in front of them and a few beer bottles.,A man and woman are swimming.,2,"There is no direct connection between the premise of people playing Jenga and drinking beer and the hypothesis of a man and woman swimming.  
","The man and a woman cannot be swimming, and at the same time be sitting at a table with a Jenga game."
A baby eats and has food on his face.,Baby fell asleep while eating food,1,"It is possible for a baby to fall asleep while still having food on their face.  
",Eats does not imply the baby fell asleep.
The man writes something on the chalkboard to teach the girl who is standing next to him.,The man is teaching the pupil by writing.,1,"The act of writing on a chalkboard is a common method used by teachers to instruct their pupils.  
",You can not infer he is teaching.
Group of children playing soccer with body of water in the background.,It's a sunny day.,1,"Children playing soccer outdoors are often associated with sunny weather.  
",Not all days are a sunny day.
People are gathering under colored lights in a large tent.,People are meeting in a tent.,1,"The premise states that people are gathering in a tent, which implies a meeting.  
",Gathering at a location does not mean the same as meeting.
A man with a black hat is walking with a riffle.,The hat is blue,2,"The premise describes the color of the hat, while the hypothesis states a different color.  
",Black and blue are different.
A boy is standing next to a car in front of a clothesline.,The kid is in a movie theater.,2,"There is no logical connection between a boy standing next to a car in front of a clothesline and the idea of him being in a movie theater.  
",boy and kid have different ages
People are sitting outside of a building.,People on the outside of a building.,0,"The premise states that people are situated outside a building, which directly corresponds to the description of people being on the outside of a building.  
","if people are sitting outside of a building, they must be outside of a building."
A man in a brown button up shirt is heating a material in a work station.,There is a man quitting his job,2,"Heating a material in a workstation could be part of a job, and someone might quit their job.  
","One sentence explains that a man is working at a work station. While the other sentence explains that he is quitting his current job,"
A man wearing a blue suit is standing on a roof with a mop and bucket.,The man is wearing blue.,0,"The premise states that a man is wearing a blue suit.  
",A man wearing blue is definitely same as a man wearing blue.
Friends talking outside of a local bar.,People talking to each other.,1,"People talking to each other is a common occurrence when friends are socializing outside a bar.  
",People can talk around each other without speaking to each other.
A bird eating.,The bird was flying.,2,"Birds often fly while searching for food.  
",The bird cannot simultaneously be eating and flying
A dog runs in a field.,The dog is sleeping.,2,"It is unlikely that a dog running in a field would be sleeping.  
",the dog cannot run while sleeping.
Four guys playing soccer on the pavement.,four guys at soccer practice,1,"Playing soccer could be part of a soccer practice.  
",Playing does not imply it being at soccer practice.
A young women with long blond-hair is planting in a garden.,A short haired woman picking berries.,2,"The hypothesis describes a different person engaging in a different activity.  
",A woman can't have long and short hair. Planting and picking are different acts.
A man in a hat is steering a boat while a passenger reads the paper.,A passenger assists a man in steering a boat.,2,"The premise states that a passenger is reading a paper while a man steers the boat, suggesting the passenger is not actively involved in steering. 
",A passenger can not assists a man while he reads the paper.
A baseball player is on the field in fronmt of an audience.,Fans crowd around the player to get his autograph.,2,"Fans often seek autographs from baseball players they see on the field.  
",Fans can not crowd around a player when he is on the field.
A group of male and female cheerleaders in black and yellow uniforms have thrown a female cheerleader in the air and are waiting to catch her.,A girl is in the air over some cheerleaders.,0,"The premise describes a scenario where a female cheerleader is lifted into the air by other cheerleaders. 
",Female is a girl.
A man is playing shot put with a skirt.,A woman throws a discus.,2,"The premise describes a person engaging in a sport, and the hypothesis describes a person engaging in a different sport.  
",It can't be both a man and a shot put and a woman with a discus at once.
A man watching as one woman in a brown coat is talking to another woman in a gray coat.,Two women sunbathe on the beach,2,"The premise describes a scene with two women, and the hypothesis describes two women engaging in a sunbathing activity. 
",Two woman cannot be in coats and sunbathe on the beach.
"A crane, with the letters ""LIEBHERR"" on it, seems to be demolishing a dark gray building with graffiti on it.",The crane is idle with noone controlling it.,2,"Demolishing a building requires active control of a crane.  
",A crane demolishing is not idle.
Three construction workers working on the street.,Three men are building a scaffolding on the street.,1,"Construction work often involves building scaffolding.  
",Not  all construction workers working on the street are building a scaffolding.
A cyclist in a blue jersey is being cheered by a crowd laced with French flags as he pedals away from other riders.,A cyclist pedaling away from the crowd during the tour de france.,1,"The presence of French flags and the description of a cyclist pedaling away from others suggests a major cycling event like the Tour de France.  
","A cyclist surrounded by French flags does not directly imply the tour de france, he could be racing in any other race."
A group of people are walking down the sidewalk of a big city.,A lot of people are in the city.,0,"The presence of a group of people walking down a sidewalk suggests a populated area, which could indicate a large number of people in the city.  
",group of people walking implies that a lot of people are in the city.
A woman is playing tennis.,I women is winning a game.,1,"Winning a game in tennis requires playing the game.  
",Not all women playing tennis are winning.
"Two men operate a cement truck in the daytime, wearing white t-shirts and blue jeans, and one of them talking on a mobile phone.",Two men are working outdoors during the daytime.,0,"The premise describes two men working outdoors during the daytime.  
",Operate is a type of working and a cement truck is found outdoors.
Several people are waiting for something to arrive.,A woman by herself,2,"The group of people waiting could include a woman alone.  
",There can either be several people or a single woman.
Small brown dog jumping out of the water.,A brown puppy wants out of the water.,1,"The small brown dog's action of jumping out of the water suggests a desire to leave the water. 
",The dog might not be a puppy.
A guy wearing protective gear is welding a steel beam.,The guy is woodworking.,2,"Welding is a process that involves metal, not wood.  
",Woodworking and welding are two very different skills.
A large group of people waiting at a train station.,People are waiting at an airport.,2,"While train stations and airports are both places where people gather to travel, they serve different modes of transportation.  
",Train station is not an airport
A dog is playing catch on the grassy plain,A dog is playing by himself indoors.,2,"The premise describes a dog playing outside, while the hypothesis describes a dog playing inside. 
",the dog cannot be playing on the grassy plain and indoors simultaneously
two men playing soccer on a wet field,Two men are playing soccer inside the house.,2,"The location where the soccer game is taking place is not specified.  
",The two men cannot be palying soccer on a wet field and inside the house.
A family walking down the street with luggage.,A family is going on vacation.,1,"Families often travel with luggage.  
",not every family has luggage.
Two people kneel on the snow and raise their arms with mountains behind them.,Two people in the snow.,0,"The premise states that two people are kneeling in the snow. 
",If they are kneeling on the snow suggests they are in the snow
Toddler standing near a pole with an orange life jacket at his feet.,A grown man wades into some water.,2,"The toddler might be near the water, and a grown man could be wading in.  
",A toddler is not a man.
A woman is singing into a microphone while sitting and playing an instrument.,A woman is singing a song,0,"Singing into a microphone while playing an instrument is a common way to perform a song.  
","A woman is singing into a microphone, and, by definition, one can only be singing a song."
"A cook prepares food at the counter in a store called ""Frank's Burgers"".",The cook is preparing food for customers.,1,"A cook preparing food at a burger store is likely doing so to serve customers.  
",A cook is not necessarily preparing food for customers.
"Person in a black hat, jacket, pants and shoes sitting on concrete curb against a brick background.",A man is sitting on the curb.,0,"The description states a person is sitting, which could be a man.  
",A person sitting is a man sitting on the curb.
The lake looks very shallow.,The water is very shallow.,0,"The appearance of shallowness can lead to an assumption about the actual depth.  
",Lake implies water.
Muslim walking in procession.,Muslim running down the sidewalk pell mell,2,"A person walking in a procession could choose to run.  
",Walking and running are two different movement paces.  A procession is not pell mell.
"Young man with a black shirt on, riding a blue bike with a baby sitting in front of him.",Nobody is riding,2,"The premise describes someone riding a bike, which is incompatible with the hypothesis that nobody is riding.  
",One cannot be riding and not be riding simultaneously.
A man wearing a reflective vest and a hard hat holds a flag in the road,A cat chases a mouse.,2,"The provided information gives no clues about cats or mice.  
",It's either a man or a cat.
A red metal sculpture is surrounded by a large number of people.,No one is near the red sculpture.,2,"The premise states there are many people around the sculpture, which contradicts the hypothesis that no one is near it.  
",A sculpture cannot both have no one near it and also be surrounded by people. There either are are or not people around the sculpture.
An artist in a straw hat paints a beautiful cityscape out on a city street.,A person outside is painting.,0,"The premise states that a person is painting, fulfilling the condition of the hypothesis.  
","A man painting a cityscape, is painting."
A black dog leaps over a log.,He jumped high.,1,"Leaping over an object typically requires a significant jump.  
",A black dog leaps over a log does not necessary that he jumped high.
A girl wearing a colorful hat sits on a woven mat.,"A woman is sitting on a mat, mediating.",1,"While the premise describes a girl sitting on a mat, it doesn't specify her actions or state of mind. 
",Not all people that sit on mats use them for mediating.
Group of teen males picking up garbage.,A group of teen male workers taking garbage outside.,0,"The group of teen males is engaged in the task of removing garbage.  
","Teen males could be picking up garbage outside, thus taking garbage outside."
A man dressed for cooler weather blows leaves.,A man for cooler weather.,0,"The premise states the man is dressed for cooler weather, which implies he is prepared for cooler temperatures. 
",man dressed for cooler weather is same as man for cooler weather
