text_1,text_2,label,explanation,human_explanation
Person in green gear does trick in midair with motorcycle.,Person in gear does trick in midair with motorcycle.,0,"The premise specifies that the person is wearing green gear while performing a trick in midair with a motorcycle, which supports the broader statement in the hypothesis that a person in gear is doing a trick in midair with a motorcycle.",A person does trick in midair while wearing green gear.
A man leans against a pay phone while reading a paper.,The man is standing and holing a newspaper.,0,"The man is indeed standing while he is reading a newspaper, as indicated by his position against the pay phone.",If the man is reading a paper he is reading a newspaper.
Football players wearing helmets practice defensive moves while their coach stands by ready to blow his whistle.,The coach drills his team hard,0,"The coach's presence and readiness to blow his whistle suggest that he is actively overseeing the players' practice, which implies he is likely pushing them to improve their skills.","In both sentence, coach are teaching her team."
A young woman in relaxed clothing vacuuming hallway with small vacuum.,A mother cleans up after her children who spilled cereal in the hallway by vacuuming.,1,"The young woman vacuuming the hallway suggests she is cleaning up a mess, which aligns with the idea of a mother cleaning up after her children.",Not all women are a mother with children.
A camera crew looking at a man holding a umbrella over a girl in white.,a camera crew looks at a man holding an umbrella over a blonde girl dressed in white,1,"The premise describes a man holding an umbrella over a girl in white, which aligns with the hypothesis that specifies a man holding an umbrella over a blonde girl dressed in white.",the girl may not be blonde
A woman in a kimono with a white umbrella stands near a second person.,One person is wearing a bathing suit while another is wearing a tuxedo.,2,"The premise describes a woman in a kimono, which does not support the idea of one person wearing a bathing suit and another in a tuxedo.",A kimono and a bathing suit are not the same thing.
One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,A man is surfing at the beach.,2,"The activities of skiing on a snowy mountain and surfing at the beach are fundamentally different, as one takes place in a winter environment while the other occurs in a coastal setting.",Snowy mountain slope cannot be beach simultaneously.
A slim woman is walking a wet street holding a red umbrella.,A woman jogs a street with umbrellas.,2,"The premise describes a woman with an umbrella on a wet street, while the hypothesis mentions a woman jogging on a street with umbrellas, indicating a shared context of a woman and umbrellas but differing in action and details.","One cannot walk and jog at the same time, and there can be only one umbrella or multiple umbrellas."
A woman and a man standing on a busy city street smiling.,The woman and the man are frowning.,2,"The premise describes a woman and a man smiling, which directly contradicts the assertion that they are frowning.",The couple is either standing or frowning.
A man with his surfboard stands in the sand.,fo,1,"The presence of a man with a surfboard suggests an activity related to the ocean or beach, which could imply various scenarios.",
A congregation is watching the Pope give a speech.,The Pope is old,1,"The Pope, as a prominent religious leader, is typically perceived as being older due to the long-standing tradition of the papacy and the age of previous popes.",A Pope is likely to be old but the possibility of the Pope being young or middle aged can't be discounted.
The children played on the four wheeler in the field.,The children are riding west on the four wheeler.,1,"The premise states that the children are playing on the four wheeler, which implies they are actively using it, but it does not specify the direction they are riding.",It is not known if the children are riding west.
