text_1,text_2,label,explanation,human_explanation
Person in green gear does trick in midair with motorcycle.,Person in gear does trick in midair with motorcycle.,0,"The person in the premise is still wearing gear, which is the key aspect mentioned in the hypothesis.",A person does trick in midair while wearing green gear.
People walk down a street in a metropolitan area where graffiti can be seen.,The graffiti is good art,1,The presence of graffiti in a metropolitan area does not necessarily imply a judgment about its artistic value.,Not all graffiti is good art
Football players wearing helmets practice defensive moves while their coach stands by ready to blow his whistle.,The coach drills his team hard,0,"The coach's readiness to blow his whistle suggests that he is closely monitoring the players' practice, implying a high level of scrutiny and intensity in the training session.","In both sentence, coach are teaching her team."
A camera crew looking at a man holding a umbrella over a girl in white.,a camera crew looks at a man holding an umbrella over a blonde girl dressed in white,1,"The premise does not specify the girl's hair color, but it does mention a girl in white, which is consistent with the hypothesis's description of a blonde girl dressed in white.",the girl may not be blonde
A person is standing a display with their back facing us.,The person is sitting on the bench.,2,"Since the person's back is facing us, we cannot see if they are sitting or standing, but we can infer that they are not sitting on the bench because their back is facing us, implying they are standing in front of the display.",A person cannot be both standing and sitting on the bench at the same time.
A woman in a kimono with a white umbrella stands near a second person.,One person is wearing a bathing suit while another is wearing a tuxedo.,2,"The premise does not provide any information about the attire of the second person, leaving open the possibility that one person is wearing a bathing suit and the other is wearing a tuxedo.",A kimono and a bathing suit are not the same thing.
One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,A man is surfing at the beach.,2,"There is no connection between skiing down a mountain slope and surfing at the beach, as these are two distinct outdoor activities that take place in different environments.",Snowy mountain slope cannot be beach simultaneously.
A slim woman is walking a wet street holding a red umbrella.,A woman jogs a street with umbrellas.,2,"The woman in the premise is not necessarily jogging, but she is walking, and she is holding an umbrella, which is a common accessory used by people who jog in the rain.","One cannot walk and jog at the same time, and there can be only one umbrella or multiple umbrellas."
A man with his surfboard stands in the sand.,fo,1,The man standing in the sand with his surfboard does not necessarily mean he is surfing or fo.,
The children played on the four wheeler in the field.,The children are riding west on the four wheeler.,1,"The direction in which the children are riding the four wheeler is not specified in the premise, but it is possible that they are riding west.",It is not known if the children are riding west.
five girls dressed alike,There are five kids with the same clothes,0,"The phrase ""dressed alike"" implies that the five girls are wearing the same type of clothes, which supports the idea that there are five kids with the same clothes.","The five kids are all girls, and they are dressed alike meaning same clothes"
Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,four individuals are presenting their business plan,1,"The presence of a projector image on the wall suggests that the four individuals are presenting information to the audience, which is a common practice when pitching a business plan.",Using a projector does not imply presenting a business plan.
A Guy is swimming in the pool with his eye goggles on.,A guy is practicing swimming for the semi-finals.,1,"The guy is likely preparing for a competitive swimming event, which would require him to practice his swimming skills.",Swimming does not imply practicing for semi-finals.
Two people are hang gliding.,The two people are hang gliding off of Mission Peak regional park.,1,"Mission Peak regional park is a popular spot for outdoor recreational activities, including hang gliding.",The two people are hang gliding but they are not necessarily doing it off of Mission Peak regional park.
"Two people wait on a train, one in a yellow shirt and one that looks like a male in a green belly shirt.",Two people don't wait on a train,2,"The presence of two individuals, one wearing a yellow shirt and the other resembling a male in a green belly shirt, at the train station contradicts the idea that there are no people waiting on the train.",If people wait on a train they don't not wait.
Four people walking through the snow together.,people were walking,0,"The presence of four people walking together in the snow implies that these individuals are, in fact, walking.",Walking through the snow implies someone is walking.
young boy wearing a red USA shirt is using either a toy or science equipment.,A child is performing an experiment,1,"The boy's use of science equipment, such as a microscope or thermometer, suggests that he is conducting an experiment.",The child is not necessarily performing an experiment.
a black dog is standing on a step next to a river as it shakes itself dry.,A dog shakes off after being pushed into water.,1,"The dog's action of shaking itself dry suggests that it was previously wet, which could be a result of being pushed into the water.","A dog could jump or fall into water, not only from being pushed."
A man in blue shirt talking with his friends in a bar.,A man is having drinks in a bar.,1,"Since the man is talking with his friends in a bar, it is likely that he is socializing and having a good time, which often involves having drinks.",A man in a blue shirt talking with his friends is having drinks in a bar.
"A female speaker wearing a gray jacket, a dark scoop necked top with a dark knee length skirt is presenting to a group using a computer to present as well as a microphone at the podium.",The woman is standing in front of people.,0,"Since the woman is using a microphone at the podium, it is likely that she is addressing an audience, which would require her to be standing in front of them.",A female speaker is a woman. Someone who is presenting to a group is standing in front of people.
"A blond woman is singing into a microphone and giving the ""okay"" symbol with her left hand.",A young woman is singing.,1,"The woman singing into the microphone is likely a young adult, given her ability to perform in front of an audience.",Not all blond women who sing are young.
Two young men are posing for the camera.,two men posing for a photo to put on facebook,1,"The two young men are likely posing for a casual, everyday photo, which is often the type of photo people share on social media platforms like Facebook.",posing for a camera does not specifically mean the photo will be uploaded to Facebook
two beautiful women stand next to a fountain which is giving off a light mist.,An old woman feed the pigeons in town.,2,The beautiful women standing next to the fountain might be taking a break from feeding the pigeons in town.,There cannot be both a number of two women then later saying that there is one women.
"A man walks through a clearing and carries a rifle along his back, casually holding it by the muzzle.",A man is walking and carrying a fishing pole.,2,"The object being carried by the man in the premise is not necessarily a rifle, but could be a long, thin object like a fishing pole.",two men walking one carries a rifle and the other carries a fishing pole
A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.,He is standing inside the house.,0,"The wall separating the kitchen and living area is typically an interior feature of a house, and the young man is peering over it, suggesting that he is standing inside the house.","He peers over the wall that is waist high, so he must be standing."
Several bicyclists are riding though a wooded area.,Bicyclists riding their bikes in a race.,1,"The bicyclists may be riding in a competitive manner, which could be indicative of a race.",Bicyclists can ride without being in a race.
A street musician playing.,A street musician is outside.,0,"Since street musicians typically perform in public areas, it is likely that the musician is playing outside.",Street musician implies that he is playing outside.
Small blond boy throwing a fit.,Small blond boy throwing a fit because he didn't get the toy.,1,"The boy's tantrum is likely a result of unmet expectations, and not getting the toy he wanted could be the catalyst for his outburst.",It cannot be inferred that the blond boy was throwing a fit because he didn't get the toy.
Two men are standing on a street and one of them is about to throw a dart.,Two men are in a bar.,2,One of the men standing on the street might have just stepped out of a nearby bar to take a break and throw a dart.,Men cannot be on a street and in a bar simultaneously.
