text_1,text_2,label,explanation,human_explanation
Person in green gear does trick in midair with motorcycle.,Person in gear does trick in midair with motorcycle.,0,The person wearing green gear is the one doing the trick in midair with the motorcycle.,A person does trick in midair while wearing green gear.
A man leans against a pay phone while reading a paper.,The man is standing and holing a newspaper.,0,"The man, who is leaning against a pay phone, is engaging in the activity of reading a paper, which is a type of holding a newspaper.",If the man is reading a paper he is reading a newspaper.
Football players wearing helmets practice defensive moves while their coach stands by ready to blow his whistle.,The coach drills his team hard,0,"The coach's readiness to blow his whistle indicates that he is closely monitoring and guiding the practice, which could be interpreted as drilling the team hard.","In both sentence, coach are teaching her team."
A young woman in relaxed clothing vacuuming hallway with small vacuum.,A mother cleans up after her children who spilled cereal in the hallway by vacuuming.,1,"A woman vacuuming a hallway could be doing so for any reason, not just because her children spilled cereal.",Not all women are a mother with children.
A camera crew looking at a man holding a umbrella over a girl in white.,a camera crew looks at a man holding an umbrella over a blonde girl dressed in white,1,"The man holding the umbrella over the girl could be doing so to protect her from the rain, and the girl dressed in white could have blonde hair.",the girl may not be blonde
A woman in a kimono with a white umbrella stands near a second person.,One person is wearing a bathing suit while another is wearing a tuxedo.,2,"If the second person is not the woman in the kimono, they could be wearing a tuxedo while the woman in the kimono holds a white umbrella near them.",A kimono and a bathing suit are not the same thing.
One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,A man is surfing at the beach.,2,"Just because there are ski tracks and a ski lift in the premise doesn't mean the person in the hypothesis is not at the beach, surfing.",Snowy mountain slope cannot be beach simultaneously.
A slim woman is walking a wet street holding a red umbrella.,A woman jogs a street with umbrellas.,2,"If the woman is walking with a red umbrella in a wet street, she might be jogging while holding the umbrella to keep dry.","One cannot walk and jog at the same time, and there can be only one umbrella or multiple umbrellas."
A woman and a man standing on a busy city street smiling.,The woman and the man are frowning.,2,"If the woman and man are standing and smiling on a busy city street, they are not frowning.",The couple is either standing or frowning.
A man with his surfboard stands in the sand.,fo,1,"The man, who is holding a surfboard, stands in the sand, but there is no information about him doing anything related to ""fo"".",
A congregation is watching the Pope give a speech.,The Pope is old,1,"The Pope, being a religious leader, tends to be a figure of advanced age, so it's plausible that the Pope giving a speech to a congregation would be an older individual.",A Pope is likely to be old but the possibility of the Pope being young or middle aged can't be discounted.
The children played on the four wheeler in the field.,The children are riding west on the four wheeler.,1,"The four wheeler's direction is not specified in the premise, so it cannot be concluded that the children are riding west on it.",It is not known if the children are riding west.
five girls dressed alike,There are five kids with the same clothes,0,The hypothesis can be true if the five kids are girls.,"The five kids are all girls, and they are dressed alike meaning same clothes"
Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,four individuals are presenting their business plan,1,The people in black shirts are using a projector to display a business plan to the room.,Using a projector does not imply presenting a business plan.
A Guy is swimming in the pool with his eye goggles on.,A guy is practicing swimming for the semi-finals.,1,Wearing eye goggles while swimming could be part of a training routine for a competition like the semi-finals.,Swimming does not imply practicing for semi-finals.
People are looking at construction being done in a town street.,People watch as a new hotel is built.,1,"The construction in the town street is for a new hotel, which people are observing.",People are looking at construction being done in a town street does not indicate that he watch as a new hotel is built.
Two people are hang gliding.,The two people are hang gliding off of Mission Peak regional park.,1,"The two people could be hang gliding at any location, including Mission Peak regional park.",The two people are hang gliding but they are not necessarily doing it off of Mission Peak regional park.
"Two people wait on a train, one in a yellow shirt and one that looks like a male in a green belly shirt.",Two people don't wait on a train,2,"The presence of two people waiting on a train contradicts the hypothesis that no one is waiting on a train, regardless of their clothing color.",If people wait on a train they don't not wait.
Four people walking through the snow together.,people were walking,0,"The people mentioned in the premise are taking a walk, which matches the action described in the hypothesis.",Walking through the snow implies someone is walking.
young boy wearing a red USA shirt is using either a toy or science equipment.,A child is performing an experiment,1,"The child wearing a red USA shirt, who is using either a toy or science equipment, could be conducting an experiment as a form of play or as part of a scientific inquiry.",The child is not necessarily performing an experiment.
a black dog is standing on a step next to a river as it shakes itself dry.,A dog shakes off after being pushed into water.,1,"If a dog is shaking itself dry, it may have recently been in water, but it's not necessarily true that it was pushed into the water.","A dog could jump or fall into water, not only from being pushed."
