text_1,text_2,label,explanation,human_explanation
Person in green gear does trick in midair with motorcycle.,Person in gear does trick in midair with motorcycle.,0,The color of the gear doesn't affect the ability to do tricks in midair with a motorcycle.,A person does trick in midair while wearing green gear.
A man leans against a pay phone while reading a paper.,The man is standing and holing a newspaper.,0,"The man's posture of leaning against the pay phone implies he is standing, and his engagement with the paper suggests he is holding it, possibly reading a newspaper.",If the man is reading a paper he is reading a newspaper.
People walk down a street in a metropolitan area where graffiti can be seen.,The graffiti is good art,1,"The presence of graffiti in a metropolitan area doesn't necessarily mean it's good or bad art, as people have different opinions about what constitutes good art.",Not all graffiti is good art
A young woman in relaxed clothing vacuuming hallway with small vacuum.,A mother cleans up after her children who spilled cereal in the hallway by vacuuming.,1,"The young woman's relaxed clothing suggests a domestic setting, making it plausible that she is a mother tidying up after her children's cereal spill.",Not all women are a mother with children.
A camera crew looking at a man holding a umbrella over a girl in white.,a camera crew looks at a man holding an umbrella over a blonde girl dressed in white,1,"The hypothesis is consistent with the premise since it adds specific details about the man and the girl, but these details are not explicitly contradicted in the premise.",the girl may not be blonde
A person is standing a display with their back facing us.,The person is sitting on the bench.,2,"If the person's lower body is not visible above the display, they might be sitting on the bench with their back facing us.",A person cannot be both standing and sitting on the bench at the same time.
A woman in a kimono with a white umbrella stands near a second person.,One person is wearing a bathing suit while another is wearing a tuxedo.,2,"The presence of a white umbrella suggests a setting other than a beach or formal event, making it unlikely for one person to be wearing a bathing suit and the other a tuxedo.",A kimono and a bathing suit are not the same thing.
One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,A man is surfing at the beach.,2,"The presence of ski track marks and a ski lift in the premise suggests a winter environment, making the beach scenario in the hypothesis less likely.",Snowy mountain slope cannot be beach simultaneously.
A slim woman is walking a wet street holding a red umbrella.,A woman jogs a street with umbrellas.,2,"""If we adjust the description slightly, the woman could be jogging while still holding a red umbrella on the wet street.""","One cannot walk and jog at the same time, and there can be only one umbrella or multiple umbrellas."
A woman and a man standing on a busy city street smiling.,The woman and the man are frowning.,2,"If the woman and man were frowning, they wouldn't be smiling as stated in the premise.",The couple is either standing or frowning.
