premise,hypothesis,label,explanation,human_explanation
Person in green gear does trick in midair with motorcycle.,Person in gear does trick in midair with motorcycle.,0,The person in green gear is a specific instance of a person in gear performing a trick in midair with a motorcycle.,A person does trick in midair while wearing green gear.
A man leans against a pay phone while reading a paper.,The man is standing and holing a newspaper.,0,"The man is leaning against a pay phone, which suggests he is standing while he reads the paper.",If the man is reading a paper he is reading a newspaper.
People walk down a street in a metropolitan area where graffiti can be seen.,The graffiti is good art,1,The presence of graffiti in a metropolitan area does not inherently indicate its quality as art.,Not all graffiti is good art
Football players wearing helmets practice defensive moves while their coach stands by ready to blow his whistle.,The coach drills his team hard,0,The coach's presence and readiness to blow his whistle suggest he is actively involved in guiding and instructing the players during practice.,"In both sentence, coach are teaching her team."
A young woman in relaxed clothing vacuuming hallway with small vacuum.,A mother cleans up after her children who spilled cereal in the hallway by vacuuming.,1,"The young woman could be vacuuming the hallway to clean up a mess, similar to a mother cleaning up after her children.",Not all women are a mother with children.
A camera crew looking at a man holding a umbrella over a girl in white.,a camera crew looks at a man holding an umbrella over a blonde girl dressed in white,1,"The premise describes a man holding an umbrella over a girl in white, while the hypothesis specifies that the girl is blonde and dressed in white.",the girl may not be blonde
A person is standing a display with their back facing us.,The person is sitting on the bench.,2,A person standing at a display cannot be sitting on a bench.,A person cannot be both standing and sitting on the bench at the same time.
A woman in a kimono with a white umbrella stands near a second person.,One person is wearing a bathing suit while another is wearing a tuxedo.,2,"The premise describes a woman in a kimono, while the hypothesis mentions one person in a bathing suit and another in a tuxedo, indicating different attire that does not align with the premise.",A kimono and a bathing suit are not the same thing.
One lone skier is making his way down a snowy mountain slope which has many ski track marks visible on the snow pack and a ski lift in the background.,A man is surfing at the beach.,2,"A skier on a snowy mountain slope is engaged in a winter sport, while surfing takes place on a beach, which is a completely different environment and activity.",Snowy mountain slope cannot be beach simultaneously.
A slim woman is walking a wet street holding a red umbrella.,A woman jogs a street with umbrellas.,2,"A slim woman is walking on a wet street, but there is no indication that she is jogging or that there are multiple umbrellas involved.","One cannot walk and jog at the same time, and there can be only one umbrella or multiple umbrellas."
A woman and a man standing on a busy city street smiling.,The woman and the man are frowning.,2,"The woman and the man are displaying opposite emotions, as smiling indicates happiness while frowning signifies sadness.",The couple is either standing or frowning.
A man with his surfboard stands in the sand.,fo,1,"The man with the surfboard is standing on the sand, which does not imply any specific action or context beyond his presence.",
A congregation is watching the Pope give a speech.,The Pope is old,1,"The Pope, being a prominent religious figure, is likely to be older given the long-standing tradition and experience required for such a role.",A Pope is likely to be old but the possibility of the Pope being young or middle aged can't be discounted.
The children played on the four wheeler in the field.,The children are riding west on the four wheeler.,1,"The premise states that the children are playing on the four wheeler, but it does not specify the direction they are riding.",It is not known if the children are riding west.
five girls dressed alike,There are five kids with the same clothes,0,Five girls dressed alike indicates that they are wearing the same clothes.,"The five kids are all girls, and they are dressed alike meaning same clothes"
Four people in black shirts giving a presentation to a room full of people using a big projector image on the wall.,four individuals are presenting their business plan,1,The four individuals in black shirts are likely presenting their business plan to the audience using the projector.,Using a projector does not imply presenting a business plan.
A Guy is swimming in the pool with his eye goggles on.,A guy is practicing swimming for the semi-finals.,1,A guy swimming in a pool could be preparing for an upcoming swimming competition.,Swimming does not imply practicing for semi-finals.
People are looking at construction being done in a town street.,People watch as a new hotel is built.,1,"People are observing the construction activity, which could include the building of a new hotel.",People are looking at construction being done in a town street does not indicate that he watch as a new hotel is built.
Two people are hang gliding.,The two people are hang gliding off of Mission Peak regional park.,1,"The premise states that two people are hang gliding, but it does not specify the location, so it is possible they could be hang gliding off of Mission Peak regional park.",The two people are hang gliding but they are not necessarily doing it off of Mission Peak regional park.
"Two people wait on a train, one in a yellow shirt and one that looks like a male in a green belly shirt.",Two people don't wait on a train,2,"The premise states that two people are waiting on a train, while the hypothesis claims that two people do not wait on a train.",If people wait on a train they don't not wait.
Four people walking through the snow together.,people were walking,0,Four people walking through the snow indicates that they are indeed people who are walking.,Walking through the snow implies someone is walking.
young boy wearing a red USA shirt is using either a toy or science equipment.,A child is performing an experiment,1,A young boy using science equipment could be conducting an experiment.,The child is not necessarily performing an experiment.
a black dog is standing on a step next to a river as it shakes itself dry.,A dog shakes off after being pushed into water.,1,"A dog shaking itself dry could occur after being in water, suggesting it may have been wet prior to shaking.","A dog could jump or fall into water, not only from being pushed."
A man in blue shirt talking with his friends in a bar.,A man is having drinks in a bar.,1,A man talking with friends in a bar suggests that he is likely enjoying drinks with them.,A man in a blue shirt talking with his friends is having drinks in a bar.
"A female speaker wearing a gray jacket, a dark scoop necked top with a dark knee length skirt is presenting to a group using a computer to present as well as a microphone at the podium.",The woman is standing in front of people.,0,"The speaker is presenting to a group, indicating she is in front of an audience.",A female speaker is a woman. Someone who is presenting to a group is standing in front of people.
"A blond woman is singing into a microphone and giving the ""okay"" symbol with her left hand.",A young woman is singing.,1,A blond woman is a young woman who is singing.,Not all blond women who sing are young.
Two young men are posing for the camera.,two men posing for a photo to put on facebook,1,The two young men are likely taking a photo that could be shared on social media platforms like Facebook.,posing for a camera does not specifically mean the photo will be uploaded to Facebook
two beautiful women stand next to a fountain which is giving off a light mist.,An old woman feed the pigeons in town.,2,The presence of two beautiful women by a fountain does not imply anything about an old woman feeding pigeons in town.,There cannot be both a number of two women then later saying that there is one women.
Two young girls ride a camel near water.,The girls had fun.,1,The girls riding a camel near water suggests they are engaged in a playful and enjoyable activity.,Just because two girls are riding a camel does not infer that they had fun.
"A man walks through a clearing and carries a rifle along his back, casually holding it by the muzzle.",A man is walking and carrying a fishing pole.,2,A man carrying a rifle does not imply he is carrying a fishing pole.,two men walking one carries a rifle and the other carries a fishing pole
A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.,He is standing inside the house.,0,"The young man is looking over a wall that separates two areas within a home, indicating he is likely inside the house.","He peers over the wall that is waist high, so he must be standing."
Several bicyclists are riding though a wooded area.,Bicyclists riding their bikes in a race.,1,Several bicyclists could be participating in a race as they ride through the wooded area.,Bicyclists can ride without being in a race.
A street musician playing.,A street musician is outside.,0,"A street musician typically performs in public spaces, which are often outdoors.",Street musician implies that he is playing outside.
Small blond boy throwing a fit.,Small blond boy throwing a fit because he didn't get the toy.,1,"The small blond boy's fit may be a reaction to not receiving something he wanted, such as a toy.",It cannot be inferred that the blond boy was throwing a fit because he didn't get the toy.
Two men are standing on a street and one of them is about to throw a dart.,Two men are in a bar.,2,"Two men standing on a street does not imply they are in a bar, as a street and a bar are two different locations.",Men cannot be on a street and in a bar simultaneously.
"Young man with red stains on face, with two women, posing in black clothing.",They are all dressed in white.,2,"The young man and the two women are described as wearing black clothing, which directly contradicts the assertion that they are all dressed in white.","You cannot be dressed in black clothing and also white clothing, it must be one or the other."
Two children in their pajamas one has a mask and hairnet like a surgical nurse and is standing over the older child who is laying down on the wood floor.,the children are wearing business suits,2,"The children are dressed in pajamas, which is not consistent with wearing business suits.",The children wear either pajamas or business suits.
Two girls in white dresses holding hands and leaning on each another while standing on the shoreline of a calm sea.,The girls are standing next to the river.,2,"The premise describes two girls on the shoreline of a calm sea, while the hypothesis states they are next to a river, which is a different body of water.",One cannot be standing next to the river and the sea at the same time.
A young girl dressed in white with a pink scarf smiles as she poses next to a fire in a chimney.,A kid poses near a chimney on Christmas.,1,"The young girl dressed in white with a pink scarf could be celebrating a festive occasion, which aligns with the idea of posing near a chimney during Christmas.",There is no mention of Christmas when the young girl posed in the first sentence.
"While seated outdoors, a man wearing a harlequin shirt and jeans puts white makeup around his eyes.",The man is sitting in his living room.,2,"The man is outdoors, which contradicts the idea of him sitting in his living room.",A living room is not outdoors.
A blond woman at the beach jumping around as she is enjoying her youth and freedom.,There is a blond woman at the beach,0,"A blond woman is described as being at the beach, enjoying her youth and freedom.",The beach is where the woman is at.
A woman playing the violin with posters in the background.,A woman is playing music.,0,A woman playing the violin is actively producing music.,A violin makes music.
Two children walk along a path holding purple flowers.,A boy and a girl are gathering flowers.,1,The children holding purple flowers may be gathering them as they walk along the path.,Two children walk along a path holding purple flowers does not mean that two children are boy and a girl
Students are sitting in a classroom listening to six people who are teaching.,The students combined their powers pushing the moon away from the Earth by 6 inches.,2,"The premise describes students in a classroom, while the hypothesis involves students using their powers to affect the moon, which is unrelated to the classroom setting.","If one is listening, they are not pushing"
A man in a field with a blue Jacket and a hat holding a stick with two dogs.,A man stands in a field with two dogs.,0,A man is in a field accompanied by two dogs.,A man stands in a field and man in a field are the same phrases.
A man pans rocks in a button-down shirt and long shorts.,A woman plays tennis.,2,A man panning rocks does not imply anything about a woman playing tennis.,"Man and woman are different, panning rocks and playing tennis are different activities, Cannot be both genders or do both activities at the same time."
Man with a guitar drinking a canned drink.,man drinks beer,1,"The premise describes a man drinking a canned drink, but it does not specify the type of drink, leaving open the possibility that it could be beer.",Not all canned drinks are beer.
Two women sitting on a bench eating vanilla ice cream.,Two men are eating peanuts.,2,"The premise describes two women enjoying ice cream, while the hypothesis involves two men eating peanuts, indicating a complete lack of connection between the subjects and their activities.",There can only be two women or two men.
An aspirin added to the water would preserve the flowers.,The flowers are in water.,0,"If the flowers are preserved by adding aspirin to the water, they must be in the water to benefit from the aspirin.",aspirin added to water refers that flowers are in water
A woman giving lecture using promethean board.,There are people eating worms.,2,A woman giving a lecture does not imply that there are people eating worms.,Eating worms is different that giving a lecture
People walking through the underpass of a bridge.,Monkeys stare through the bars at the zoo.,2,People walking through an underpass may be observed by animals in a nearby zoo.,People are not monkeys.
A parade of women in blue costumes walk down the street.,A group of women in blue costumes parade down the street.,0,"A parade involves a group of people, and since the women in blue costumes are walking together, they are participating in a parade.",parade downs implies walk down.
A child in pink throwing a snowball at a child in blue.,Two children are interacting with each other wearing different colors.,0,Two children are engaged in a playful activity while wearing distinct colors.,Pink and blue are two different colors.
A group of people sit in the snow overlooking a mountain scene.,People are doing cartwheels in the dry summer field.,2,"The scene described in the premise takes place in a snowy environment, while the hypothesis depicts an activity occurring in a dry summer field, indicating a significant difference in both location and weather conditions.",People can not sit while simultaneously be doing cartwheels.  A dry summer field can not be covered in snow.
"A young lady, wearing a dark colored leotard, is doing a flip on a balance beam.",A young lady is walking across the floor mat.,2,The young lady performing a flip on the balance beam is engaged in a different activity than simply walking across the floor mat.,The young lady cannot be simultaneously walking across the floor mat and doing a flip on a balance beam.
Woman sitting in the shade with a fabric fan.,There is a woman sitting down,0,A woman sitting in the shade implies that she is in a seated position.,Sitting refers to sitting down.
A young lady with an umbrella is walking by while two women are adoring the adorable puppy one gentleman was walking.,A group of people wait in line at an amusement park.,2,"The premise describes a scene with multiple individuals, while the hypothesis introduces a different scenario involving a group of people in a specific setting.","There are either two women or a group of people, a group of people implies more than two."
Kids running in the field.,Kids play soccer in a field.,1,"Kids running in the field could be engaging in various activities, including playing soccer.",Just because the kids are running does not mean they are playing soccer.
A woman in a green shirt is opening a box.,the woman is asleep,2,"A woman who is opening a box is actively engaged and alert, which contradicts the idea of her being asleep.",The woman cannot be opening a box while asleep.
A street sweeper patrols the sidewalk.,A police officer patrols the sidewalk.,2,"A street sweeper is responsible for maintaining cleanliness on the sidewalk, while a police officer is tasked with ensuring safety and order in the same area.",One individual cannot fulfill the role of a street sweeper and a police officer simultaneously.
Blond man wearing a red shirt with a camera in his hands.,A man is getting ready to take a picture of his famiy.,1,"The man with the camera in his hands suggests he is preparing to capture a moment, possibly of his family.",Not all men have a famiy.
a woman wearing a pink jacket sitting on a staircase with a man wearing a gray hat sitting a few steps behind.,A man and woman are sitting on a staircase.,0,"A woman and a man are both present on the staircase, with the woman in a pink jacket and the man in a gray hat.",A woman sitting on a staircase with a man sitting a few steps behind is a synonym of a man and woman are sitting on a staircase.
An elderly man sits in a chair in an alleyway.,The man is sitting down.,0,The elderly man is in a seated position in the chair.,sits implies   sitting
A woman in a white shirt prepares a large meal of hamburgers.,A woman cooks.,0,A woman preparing a large meal of hamburgers indicates that she is engaged in the act of cooking.,One cooks when one prepares a meal.
This has to be one of the best restaurant's on the east side!,The restaurant is on the east side.,0,"The premise indicates that the restaurant is located on the east side, which directly supports the hypothesis that the restaurant is on the east side.",If a restaurant's on the east side it is a restaurant on the east side.
A family of three is spending the day at the beach.,A family is at the zoo watching the elephants.,2,"A family at the beach is not necessarily at the zoo, as the two locations are different and unrelated activities.",a family can either be at the beach or can watch elephant at the zoo.
A cleaning lady walks down the road with a sweeping machine what looks to be an entry way of a building.,A cleaning lady walks home.,1,"The cleaning lady is using a sweeping machine, which suggests she is engaged in cleaning tasks, possibly on her way home after work.",One cannot assume there the cleaning lady is going. She may or may not be walking home.
People waiting in line for their favorite beverage.,People are waiting for hot food.,2,"People waiting in line for their favorite beverage may not necessarily be waiting for food, as their focus is on drinks rather than meals.",one group is waiting in line for their favorite beverage while the other group is in line for hot food
Two men are sitting on a pile of fishing nets on a dock next to an elaborately designed fishing vessel.,The men do not have any nets.,2,"The presence of two men sitting on a pile of fishing nets suggests that they are in close proximity to the nets, which contradicts the idea that they do not have any nets.",The men either have nets or do not.
A man is sweating on stage while holding a beer.,A man on stage has a beer in one hand and a guitar in the other.,1,"A man holding a beer on stage could also be holding a guitar in his other hand, as both activities can occur simultaneously.",Just because A man is sweating on stage while holding a beer does not indicate that he has a beer in one hand and a guitar in the other.
two people on the top of a cliff,humans atop the cliff,0,Two people standing on the top of a cliff are indeed humans atop the cliff.,"People are humans, and ""atop"" means on the top of."
A lady holding a purse stands in an airport while a security guard watches behind her.,The lady was at home sleeping.,2,"The lady is in an airport, which indicates she is not at home.","If a woman is at home sleeping, then she cannot be at the airport."
An Asian young woman is working with flower while surrounding by her peers.,The woman is working at home.,2,"The premise indicates that the woman is working with flowers alongside her peers, which suggests a collaborative environment rather than a home setting.",surrounding peers is not the same as home
A boy jumps off a tan rock.,A boy is trying to get home.,1,A boy jumping off a rock could be part of an adventure or journey that might lead him home.,A boy is jumping on the  road
a rock climber climbs a large rock.,The person is climbing a rock.,0,A rock climber is a person who is actively engaged in climbing a rock.,a person is considered to be a rock climber.
A construction worker is driving heavy equipment at a work site.,The worker drove heavy equipment.,0,The construction worker is operating heavy machinery at the work site.,"A construction worker is a type of worker, and one must be driving in order to have drove."
A man carefully shaves his beard.,A man is grooming himself.,0,A man grooming himself often includes activities like shaving his beard.,shaves his beard is same as grooming himself
A toddler is sitting while holding some corn in his hands.,A toddler is swimming,2,A toddler sitting and holding corn is not engaged in swimming activities.,Sitting and swimming are two different actions
A child standing and stirring a pot of food.,A child is cooking for his family.,1,"A child stirring a pot of food suggests they are engaged in the process of preparing a meal, which could be for their family.",Standing and stirring food does not imply cooking for family.
The man and woman are drinking out of canning jars.,Man and woman drinking,0,"The premise describes a man and woman drinking, which directly supports the hypothesis that they are drinking.","""The man and woman"" refers to a specific couple."
A woman is drawing a caricature of a young boy.,The woman is looking at a boy.,1,The woman must be looking at the boy in order to accurately draw his caricature.,Just because a woman is drawing a caricature of a of a boy does not mean she is looking at a boy.
A group of people are riding a subway.,There is a gang riding the subway,1,A group of people riding the subway could include individuals who are part of a gang.,Not all groups of people are a gang.
Two women and one young girl are together in a crowded area.,Three females near each other.,0,The presence of two women and one young girl indicates that there are three females in close proximity to each other.,Three females together in a crowded area
